question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,marks,difficulty_level,explanation,co_mapped,section
1,"What is the time complexity of Binary Search?","O(n^2)","O(n log n)","O(log n)","O(1)",C,1,Medium,"Binary search divides the array in half with each comparison, resulting in logarithmic time complexity.",CO1 - Understand fundamental data structures,Section A
2,"Which data structure uses LIFO (Last In First Out) principle?","Queue","Stack","Array","Linked List",B,1,Easy,"Stack follows LIFO principle where the last element added is the first one to be removed.",CO1 - Understand fundamental data structures,Section A
3,"In most programming languages, arrays are indexed starting from:","0","1","-1","It depends on the language",A,1,Easy,"Most modern programming languages (C, C++, Java, Python) use 0-based indexing.",CO1 - Understand fundamental data structures,Section A
4,"What is a major advantage of Linked List over Array?","Faster access time","Better cache locality","Dynamic size allocation","Better for sorting",C,1,Easy,"Linked lists can grow and shrink dynamically without pre-allocating memory.",CO1 - Understand fundamental data structures,Section A
5,"What is the root in a tree data structure?","Any node that has no children","The topmost node with no parent","The node with maximum value","The node that is most accessed",B,1,Easy,"The root is the topmost node in a tree hierarchy that serves as the starting point.",CO1 - Understand fundamental data structures,Section A
6,"A graph with no cycles is called:","Complete Graph","Acyclic Graph (DAG)","Connected Graph","Directed Graph",B,1,Easy,"A Directed Acyclic Graph (DAG) is a graph with no cycles.",CO1 - Understand fundamental data structures,Section A
7,"When two keys hash to the same index, it's called:","Clustering","Collision","Conflict","Collision Resolution",B,1,Easy,"When two different keys produce the same hash index, it's called a collision.",CO1 - Understand fundamental data structures,Section A
8,"Which operation is used to add an element to a queue?","Push","Dequeue","Enqueue","Insert",C,1,Easy,"Enqueue adds elements to the rear of the queue.",CO1 - Understand fundamental data structures,Section A
9,"In a Max Heap, what property is satisfied?","Parent < Children","Parent >= Children","Siblings are ordered","All leaves are equal",B,1,Easy,"In a Max Heap, every parent node is greater than or equal to its children.",CO1 - Understand fundamental data structures,Section A
10,"What does stable mean in the context of sorting algorithms?","The algorithm never fails","Equal elements maintain their relative order","The algorithm uses constant space","The algorithm is deterministic",B,1,Easy,"A stable sort preserves the relative order of elements with equal keys.",CO1 - Understand fundamental data structures,Section A
11,"What is the space complexity of Merge Sort?","O(1)","O(log n)","O(n)","O(n log n)",C,2,Medium,"Merge sort requires O(n) auxiliary space for merging operations.",CO2 - Implement and analyze algorithms,Section B
12,"When does Quick Sort perform worst-case O(n^2) time complexity?","When the array is sorted","When the array is reverse sorted","When the pivot is always the smallest or largest element","When duplicates are present",C,2,Medium,"Quick sort degrades to O(n^2) when pivot selection results in highly unbalanced partitions.",CO2 - Implement and analyze algorithms,Section B
13,"Which traversal is useful for finding the shortest path in an unweighted graph?","BFS (Breadth First Search)","DFS (Depth First Search)","Both equally","In-order traversal",A,2,Medium,"BFS explores level by level and guarantees the shortest path in unweighted graphs.",CO2 - Implement and analyze algorithms,Section B
14,"Dijkstra's algorithm can be used on graphs with:","Negative edge weights","Non-negative edge weights","Both positive and negative","Only positive integers",B,2,Medium,"Dijkstra's algorithm requires non-negative edge weights to work correctly.",CO2 - Implement and analyze algorithms,Section B
15,"Dynamic Programming is an optimization technique that uses:","Recursion with backtracking","Memoization to store subproblem solutions","Greedy approach","Brute force enumeration",B,2,Medium,"DP solves problems by storing solutions of overlapping subproblems to avoid recalculation.",CO2 - Implement and analyze algorithms,Section B
16,"The Longest Common Subsequence (LCS) problem can be solved using:","Greedy algorithm","Divide and conquer","Dynamic Programming","Hashing",C,2,Medium,"LCS is a classic DP problem that builds a table of subproblem solutions.",CO2 - Implement and analyze algorithms,Section B
17,"The 0/1 Knapsack problem requires:","Each item can be taken fraction","Each item is taken fully or not at all","Items can be replaced","Greedy selection",B,2,Medium,"In 0/1 Knapsack, items are either fully included or excluded.",CO2 - Implement and analyze algorithms,Section B
18,"What is a property of Red-Black Trees?","All nodes must be red or blue","The path from root to leaf has same number of black nodes","Maximum height is always even","All leaves must be red",B,2,Medium,"Red-Black trees maintain color properties to ensure balanced operations.",CO2 - Implement and analyze algorithms,Section B
19,"An AVL tree maintains balance by ensuring:","Equal number of nodes on both sides","Height difference <= 1 between subtrees","All nodes at even depth are balanced","Maximum height is log n",B,2,Medium,"AVL trees maintain the invariant that height difference of any node's subtrees is at most 1.",CO2 - Implement and analyze algorithms,Section B
20,"Topological sort is applicable on:","Any graph","Directed Acyclic Graphs (DAG)","Undirected graphs only","Complete graphs",B,2,Medium,"Topological sort requires a DAG to produce a valid linear ordering.",CO2 - Implement and analyze algorithms,Section B
21,"Implementing a stack using a queue requires:","One queue","Two queues","Two stacks","Three queues",B,4,Hard,"Using two queues, we can implement push (enqueue both), and pop (dequeue from one after transferring).",CO2 - Implement and analyze algorithms,Section C
22,"What is the main advantage of Circular Queue over Linear Queue?","Faster insertion","Less memory usage","Reuses the freed space","Better cache locality",C,4,Hard,"Circular queues reuse the space of dequeued elements, maximizing memory efficiency.",CO2 - Implement and analyze algorithms,Section C
23,"Converting Infix expression A+B*C to Postfix gives:","ABC+*","ABC*+","AB+C*","A+BC*",B,4,Hard,"Using operator precedence (* before +), Postfix form is ABC*+.",CO2 - Implement and analyze algorithms,Section C
24,"The Subset Sum problem can be solved in pseudo-polynomial time using:","Greedy approach","Dynamic Programming","Brute force","Hashing",B,4,Hard,"DP approach has time complexity O(n*sum), making it pseudo-polynomial.",CO2 - Implement and analyze algorithms,Section C
25,"Kruskal's algorithm for MST sorts edges by:","Source node","Weight","Destination node","Frequency",B,4,Hard,"Kruskal's algorithm sorts edges in increasing order of weight.",CO2 - Implement and analyze algorithms,Section C
26,"Adjacency matrix representation of a graph requires space:","O(V)","O(E)","O(V^2)","O(V log V)",C,4,Hard,"Adjacency matrix is V×V matrix, requiring O(V^2) space.",CO2 - Implement and analyze algorithms,Section C
27,"Tarjan's algorithm finds SCC in:","O(V^2 log V)","O(V + E)","O(V^2 + E)","O((V+E) log V)",B,4,Hard,"Tarjan's algorithm performs DFS once, achieving O(V+E) time complexity.",CO2 - Implement and analyze algorithms,Section C
28,"Edit Distance (Levenshtein distance) between cat and dog is:","2","3","1","4",B,4,Hard,"Requires 3 substitutions: c→d, a→o, t→g.",CO2 - Implement and analyze algorithms,Section C
29,"For finding Next Greater Element of all array elements, optimal approach uses:","Sorting and searching","Nested loops","Stack","Hashing",C,4,Hard,"Stack can solve this in O(n) time by maintaining decreasing order.",CO2 - Implement and analyze algorithms,Section C
30,"Building a Segment Tree for range queries takes:","O(n) time and O(n) space","O(n) time and O(n) space","O(n log n) time and O(n) space","O(n^2) time and O(n^2) space",B,4,Hard,"Segment Tree construction is O(n) time and requires O(n) space.",CO2 - Implement and analyze algorithms,Section C
31,"Skip List provides search operation in expected:","O(n^2)","O(n)","O(log n)","O(1)",C,3,Hard,"Skip Lists achieve O(log n) expected search time through probabilistic balancing.",CO2 - Implement and analyze algorithms,Section D
32,"In a B-Tree of order m, internal nodes have at most:","m-1 keys","m keys","m+1 keys","2m keys",B,3,Hard,"A B-Tree of order m has maximum m children and m-1 keys per node.",CO2 - Implement and analyze algorithms,Section D
33,"Bloom Filter is best used for:","Exact searching","Membership testing","Sorting","Path finding",B,3,Hard,"Bloom Filters excel at membership testing with O(1) lookup time and minimal space.",CO2 - Implement and analyze algorithms,Section D
34,"Search in a Trie has time complexity:","O(log n)","O(m) where m is key length","O(n)","O(n log n)",B,3,Hard,"Trie search time depends on the length of the key, not the number of keys.",CO2 - Implement and analyze algorithms,Section D
35,"Suffix Array can be constructed in:","O(n^2 log n)","O(n log n)","O(n^2)","O(n)",B,3,Hard,"Efficient algorithms like SA-IS can construct suffix arrays in O(n) or O(n log n).",CO2 - Implement and analyze algorithms,Section D
36,"Fenwick Tree update operation takes:","O(1)","O(n)","O(log n)","O(n log n)",C,3,Hard,"Fenwick Tree (Binary Indexed Tree) allows O(log n) updates and prefix sum queries.",CO2 - Implement and analyze algorithms,Section D
37,"Cuckoo Hashing uses:","One hash function","Two hash functions","Three hash functions","Variable number of hash functions",B,3,Hard,"Cuckoo Hashing resolves collisions by maintaining two hash functions.",CO2 - Implement and analyze algorithms,Section D
38,"Graph Coloring problem is:","Polynomial time solvable","NP-Complete","Linear time solvable","O(n log n) solvable",B,3,Hard,"Graph Coloring is a classic NP-Complete problem.",CO2 - Implement and analyze algorithms,Section D
39,"Maximum recursion depth for a balanced BST of n nodes is:","O(n)","O(log n)","O(√n)","O(1)",B,3,Hard,"For a balanced BST, the maximum depth is logarithmic in the number of nodes.",CO2 - Implement and analyze algorithms,Section D
40,"Matrix Chain Multiplication problem requires:","Greedy algorithm","Brute force","Dynamic Programming","Linear search",C,3,Hard,"MCM is solved using DP with time complexity O(n^3).",CO2 - Implement and analyze algorithms,Section D
